date | value
2011-01-03 | -3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-02-29 | 1
2013-02-29 | 1
2014-02-29 | 1
2015-02-29 | 1
2016-02-29 | 1
2016-01-31 | 1
2016-02-31 | 1
2016-03-31 | 1
2016-04-31 | 1
2016-05-31 | 1
2016-06-31 | 1  
2016-07-31 | 1
2016-08-31 | 1
2016-09-31 | 1
2016-10-31 | 1
2016-11-31 | 1
2016-12-31 | 1
2017-12-31 | 1
2018-12-31 | 1
2019-12-31 | 1
2020-12-31 | 1gg
2016-12-31 | 1
2016-12-31 | 1jeae
2016-12-31 | 1
2016-12-31 | 1g
2016-12-31 | 1++--
2016-12-31 | 1-+
2016-12-31 | 1-
2016-12-31 | 1+
2016-12-31 | 1+
2016-12-31 | 1dhgxg
2016-12-31 | 1h
2016-12-31 | 1
2016-12-31 | 1uet
2016-12-31 | 1uet
2016-12-31 | 1fq
2016-12-31 | 1
2016-12-31 | 1ry
2016-12-31 | 1
2016-12-31 | 1fq
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2016-12-31 | 1
2004-12-31 | 1
2023-06-01 | 1
0015-01-01 | 1001
2017-03-21 | 1
2017-03-22 | 1
2017-03-23 | 1
2017-03-24 | 1
2017-03-25 | 1
2017-03-26 | 1
2017-03-27 | 1
2017-03-28 | 1
2017-03-28|1
2022-03-30 | 1
2009-01-01 | 1
2022-02-30 | 1
